product	contig_count
crosslink repair DNA glycosylase YcaQ family protein	2
cysteine desulfurase family protein	1
cysteine peptidase family C39 domain-containing protein	2
cysteine-rich KTR domain-containing protein	108
diadenylate cyclase CdaA	1
efflux RND transporter periplasmic adaptor subunit	1
energy-coupling factor transporter transmembrane component T	1
excinuclease ABC subunit UvrB	1
excisionase	3
extracellular solute-binding protein	1
ferredoxin	1
flavodoxin	1
folylpolyglutamate synthase/dihydrofolate synthase family protein	1
gallidermin/nisin family lantibiotic	189
glycerate kinase	1
glycogen/starch/alpha-glucan family phosphorylase	1
glycoside hydrolase family 98 domain-containing protein	1
glycosyltransferase	1
glycosyltransferase family 2 protein	1
glycosyltransferase family 4 protein	1
group II intron reverse transcriptase/maturase	3
helical hairpin domain-containing protein	2
helix-turn-helix domain-containing protein	3
helix-turn-helix transcriptional regulator	15
histidinol dehydrogenase	1
histidinol-phosphate transaminase	1
hypothetical protein	189
imidazole glycerol phosphate synthase subunit HisF	1
imidazole glycerol phosphate synthase subunit HisH	1
imidazoleglycerol-phosphate dehydratase HisB	1
iron ABC transporter permease	4
iron-containing alcohol dehydrogenase	1
lactococcin 972 family bacteriocin	2
lanthionine synthetase C family protein	189
lantibiotic ABC transporter permease	142
lantibiotic dehydratase	188
lantibiotic transporter	1
large conductance mechanosensitive channel protein MscL	1
lipid II isoglutaminyl synthase subunit GatD	1
lipid II isoglutaminyl synthase subunit MurT	1
membrane protein	4
metal-sulfur cluster assembly factor	1
methylenetetrahydrofolate--tRNA-(uracil(54)- C(5))-methyltransferase (FADH(2)-oxidizing) TrmFO	4
nucleoside-diphosphate kinase	1
nucleotidyl transferase AbiEii/AbiGii toxin family protein	110
nucleotidyltransferase family protein	1
omega protein	1
peptidase T	1
peptide ABC transporter substrate-binding protein	1
peptide-binding protein	35
peptidylprolyl isomerase	7
phage replisome organizer N-terminal domain-containing protein	4
phage tail tip lysozyme	141
phosphoglucomutase	4
phosphoglucosamine mutase	1
phosphoribosyl-AMP cyclohydrolase	1
phosphoribosyl-ATP diphosphatase	1
phosphoserine phosphatase SerB	2
plasmid mobilization relaxosome protein MobC	5
plasmid recombination protein	3
polyprenyl synthetase family protein	1
polysaccharide biosynthesis C-terminal domain-containing protein	1
prephenate dehydratase	6
prephenate dehydrogenase	1
protein RepA	2
protein kinase	1
pseudouridine synthase	1
pullulanase	1
putative ABC transporter ATP-binding protein	42
putative RNA methyltransferase	13
putative bacteriocin export ABC transporter	2
putative protein	2
putative protein YbbA	3
putative siderophore transport system permease protein YfhA	2
rRNA adenine N-6-methyltransferase	22
radical SAM family heme chaperone HemW	1
recombinase RecF	2
recombinase family protein	136
relaxase/mobilization nuclease domain-containing protein	3
replication initiator protein A	23
replication protein	2
response regulator transcription factor	145
restriction endonuclease subunit S	4
reverse transcriptase domain-containing protein	1
